349;352200375;WARSZAWA;Wisła (2)
350;253210220;DOBRYLAS;Pisa (264)
351;352230399;TERESPOL;Bug (266)
352;250190210;PILICA;Pilica (254)
353;250210050;ŚWIĘTY KRZYŻ;Pokrzywianka (23484)
354;250230070;TOMASZÓW LUBELSKI;Sołokija (26614)
355;251150340;GRYFÓW ŚLĄSKI;Kwisa (166)
356;251180160;OSJAKÓW;Warta (18)
357;249180170;BŁATNIA;Brennica (21114)
358;249190150;STRÓŻA;Raba (2138)
359;249190530;PILSKO;Soła (2132)
360;249200120;ROZDZIELE;Raba (2138)
361;250150170;JAKUSZYCE;Kamienna (162)
362;250160310;MIEROSZÓW;Ścinawka (122)
363;250180030;STARE OLESNO;Stobrawa (132)
364;251200170;CHEŁSTY;Czarna (Maleniecka) (2544)
365;252210020;CZARNOWO;Orz (2656)
366;249200230;GRYBÓW;Biała (2148)
367;249200470;KRYNICA;Poprad (2142)
368;249220180;KOMAŃCZA;Osława (222)
369;250150060;RĘBISZÓW;Skitnica (166246)
370;253210180;PTAKI;Pisa (264)
371;250200220;SIELEC;Nidzica (21398)
372;250210180;CHORZELÓW;Wisła (2)
373;250230130;FUTORY;Lubaczówka (2256)
374;249190080;WADOWICE;Skawa (2134)
375;249190460;SPYTKOWICE GÓRNE;Skawa (2134)
376;250150150;SZKLARSKA PORĘBA;Kamieńczyk (1622)
377;250160410;BARDO;Nysa Kłodzka (12)
378;252180210;KŁODAWA;Rgilewka (18332)
379;249200440;JAWORZYNA KRYNICKA;Poprad (2142)
380;249210150;IWONICZ-ZDRÓJ;Wisłok (226)
381;249220140;SZCZAWNE;Osława (222)
382;250150050;PILCHOWICE;Bóbr (16)
383;254200080;LIDZBARK WARMIŃSKI;Łyna (584)
384;350180540;RACIBÓRZ;Odra (1)
385;351150400;ZIELONA GÓRA;Odra (1)
386;253220070;BIEBRZA;Ełk (2628)
387;351220495;LUBLIN-RADAWIEC;Bystrzyca (246)
388;250200050;RYKOSZYN;Nida (216)
389;250210120;KLIMONTÓW;Koprzywianka (2194)
390;250230160;CIESZANÓW;Tanew (228)
391;251150350;LUBOMIERZ;Oldza (1664)
392;251180150;MIRKÓW;Prosna (184)
393;249190420;ŻABNICA;Żabniczanka (213234)
394;249190310;PEWEL MAŁA;Koszarawa (21324)
395;249190290;LIPOWA;Soła (2132)
396;249190380;KAMESZNICA;Bystra (213232)
397;249190750;SOBLÓWKA;Soła (2132)
398;249190270;OSIELEC;Skawa (2134)
399;249190470;RABA WYŻNA;Raba (2138)
400;249190230;LUBIEŃ;Lubieńka (213834)
401;249200080;ŁAPANÓW;Stradomka (21388)
402;249190560;JABŁONKA;Czarna Orawa (8222)
403;249210130;ZBOISKA;Jasiołka (2184)
404;249220160;TELEŚNICA OSZWAROWA;San (22)
405;249220130;BRZEGI DOLNE;Strwiąż (76)
406;252180060;PAKOŚĆ;Noteć (188)
407;253140110;GRYFINO;Odra (Regalica) (19751)
408;252150070;DREZDENKO;Noteć (188)
409;249200930;PORONIN;Biały Dunajec (21412)
410;249200980;MSZANA DOLNA;Raba (2138)
411;249200990;WRONOWICE;Łososina (21472)
412;249190210;ŁODYGOWICE;Soła (2132)
413;249190670;POLANA CHOCHOŁOWSKA;Dunajec (214)
414;252170110;GNIEZNO;Wełna (186)
415;249200570;TRZEMEŚNIA;Raba (2138)
416;250160220;JEDLINA-ZDRÓJ;Jedlina (13416)
417;252170180;WRZEŚNIA;Wrześnica (1838)
418;249200250;JASIONÓW;Raba (2138)
419;249210030;TUCHÓW;Biała (2148)
420;249220250;CISNA;Solinka (2212)
